Plant ID,FRUIT DIAMETER,FRUIT LENGTH,FRUIT WEIGHT,PUNCTURE TEST,SEED CAVITY LENGTH,SEED CAVITY WIDTH,TOTAL SOLUBLE SOLIDS,CHROMAMETER FLESH COLOR A,CHROMAMETER FLESH COLOR B,CHROMAMETER FLESH COLOR L,CHROMAMETER SKIN COLOR A,CHROMAMETER SKIN COLOR B,CHROMAMETER SKIN COLOR L,FRUIT SHAPE,BLOSSOM END DEFECT,BLOSSOM END SHAPE,FRUIT FLESH COLOR,FRUIT FRECKLING,FRUIT NECK,FRUIT RIDGE,FRUIT WAX,INTERIOR FRUIT GROWTH,PULP AROMA,SEED CAVITY SHAPE,SEED COLOR,SEED TEXTURE,VISUAL SKIN COLOR
HCAR20,10.8,30,1583.05,10.65,22.85,5.8,8.6,20.16,28.4,56.7,19.48,58.3,59,ELONGATED,NORMAL,POINTED_BLOSSOM_END/_ROUNDED_BLOSSOM_END,PINK,NONE/MILD,NECK_ABSENT,SMOOTH,NO,NO,MODERATE/_MILD,ROUND/_IRREGULAR,BLACK/_BROWN,SMOOTH,YELLOW/ORANGE
HCAR21,10.2,18.4,926.1,7.7,12.7,5,10.1,18.53,28.5,47.1,6.27,46.7,59.2,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE,SEVERE,NECK_PRESENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR26,7.4,12.6,394.5,7.3,7.9,3.6,11.3,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_PRESENT,DISTINCT_RIDGES,YES,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR27,8.6,13.7,487.6,5.4,8.6,3.8,13.4,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_PRESENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR30,10.9,34.2,1788.5,5.8,26.8,5.1,8.5,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,MILD,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR36,12.8,21.3,1652.6,11.5,16,7.7,10,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,YES,NO,MILD,5_ARMED_STAR,NA,SMOOTH,YELLOW
HCAR38,14.6,15.9,1382.6,7.5,10.3,9.1,9.3,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE,MILD,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,5_ARMED_STAR,NA,NA,YELLOW
HCAR44,6.6,10.9,251.8,5.8,8.8,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,YES,NO,STRONG,5_ARMED_STAR,BEIGE,UNEVEN,YELLOW/ORANGE
HCAR159,14.1,18.4,1613.8,5.9,13.2,8.5,11,9.9,40.8,57,7.13,61,69.8,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,NONE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR160,8.8,15,567.6,9.1,9.6,4.3,8.2,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,PINK,MILD,NECK_PRESENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,UNEVEN,YELLOW/ORANGE
HCAR161,8.6,14.1,540,5.3,8.6,4.8,9.5,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,PINK,MILD,NECK_PRESENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,UNEVEN,YELLOW/ORANGE
HCAR164,12,11.8,859.85,12.95,6.55,7.1,11,16.4,46.05,56.65,16.925,60.3,64.25,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,NONE/MODERATE,NECK_ABSENT,SMOOTH,NO,NO,MILD/_MODERATE,5_ARMED_STAR/_IRREGULAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR165,5.7,9.4,169.2,6.9,7.4,4,4.8,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,ROUND,BEIGE,UNEVEN,YELLOW
HCAR167,6.1,8.1,160.8,8.9,5.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,SEVERE,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,5_ARMED_STAR,BROWN,SMOOTH,YELLOW/ORANGE
HCAR168,5.9,9.7,160.8,10.1,6.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BROWN,SMOOTH,YELLOW
HCAR170,6.9,10.4,234.9,8.6,7,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,ROUND,BROWN,SMOOTH,YELLOW
HCAR172,5.8,10.5,189.1,8.2,8.8,3.9,7.9,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,NONE,NECK_ABSENT,DISTINCT_RIDGES,YES,NO,STRONG,5_ARMED_STAR,BROWN,SMOOTH,ORANGE
HCAR173,4.5,9.9,93.8,5.3,8.5,3.6,10.8,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,NONE,NECK_PRESENT,DISTINCT_RIDGES,YES,NO,STRONG,ROUND,BROWN,SMOOTH,YELLOW/ORANGE
HCAR176,5.3,9.1,148.8,1.7,7.5,3.8,7.3,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,ROUND,BROWN,UNEVEN,YELLOW
HCAR177,4.9,8.4,106.5,5.6,6.4,3.5,6.3,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,5_ARMED_STAR,BROWN,SMOOTH,YELLOW
HCAR179,1.2,2.7,2.4,NA,2.1,1,15,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,NONE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MILD,ROUND,BROWN,SMOOTH,ORANGE
HCAR181,6.5,10,220.7,5.2,8,4.5,5,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,YELLOW,NONE,NECK_ABSENT,DISTINCT_RIDGES,YES,NO,STRONG,ROUND,BROWN,SMOOTH,YELLOW
HCAR184,10.4,17.2,857.4,1.5,13.3,6,10.6,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,MILD,ROUND,BLACK,SMOOTH,YELLOW/ORANGE
HCAR185,7.7,16,453.9,1.9,10.8,3.2,9.9,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,NONE,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR186,9.6,14,636.8,6.1,8.8,4.7,10.5,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_PRESENT,SMOOTH,YES,NO,MILD,6_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR192,8.6,12,428.8,7.5,7.9,3.9,11.1,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE,MILD,NECK_ABSENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR193,9.1,14,533.4,5.1,9.1,4.5,11,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_PRESENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR196,7.4,12,344.5,5,7.4,3.9,14,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_PRESENT,SMOOTH,YES,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR197,12,12.2,995.2,5.7,7.3,6.4,12,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR199,7.6,22.1,557,4.4,19,4.5,6.7,-0.13,16.1,62.9,-0.22,56.4,70.6,NA,NAVAL OR PINHOLE,POINTED_BLOSSOM_END,NA,SEVERE,NECK_ABSENT,DISTINCT_RIDGES,YES,NO,MILD,5_ARMED_STAR,BEIGE,NA,GREEN
HCAR207,11.45,25.45,1588.6,9.5,18.45,5.35,8.95,16.08,32.4,60,3.83,63.7,66.5,ELONGATED,NORMAL,ROUNDED_BLOSSOM_END,PINK/ORANGE,MILD,NECK_ABSENT,SMOOTH,YES/NO,NO,MILD,5_ARMED_STAR/_IRREGULAR,BLACK,SMOOTH,YELLOW
HCAR208,11.9,29.9,1838,8,21.8,6.1,7.4,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR211,19.5,28.8,4121,NA,23,12.8,8.7,27.37,30.5,41.7,20.1,37.4,51.6,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR212,8,24.7,699.5,5,21.4,4.9,5.6,-0.64,13.1,57.7,-1.3,48.2,67.8,NA,NORMAL,POINTED_BLOSSOM_END,NA,MODERATE,NECK_ABSENT,DISTINCT_RIDGES,YES,NO,MODERATE,5_ARMED_STAR,BROWN,SMOOTH,YELLOW
HCAR215,15.5,22,1926.7,3.5,16.7,10.4,9.7,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MILD,ROUND,BLACK,SMOOTH,YELLOW
HCAR217,9.2,17.5,725.5,7.3,12.4,4.3,11.7,11.1,39.4,52.8,10.6,61.4,66.8,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,NONE,NECK_PRESENT,SMOOTH,NO,NO,MILD,IRREGULAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR218,14.2,16.1,1503.7,4.9,10.5,8.8,11.1,12.15,39.4,50.7,15.52,60.2,64.5,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,NONE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR219,12.8,22.6,1597.9,6.4,16.3,7.4,10.3,14.1,43.7,57.2,17.9,59.3,65.8,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,MILD,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR222,10.5,18.3,940.9,4.6,12.9,5.6,11.2,14.9,27.3,43.3,6.93,53.9,63.2,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE,SEVERE,NECK_PRESENT,SMOOTH,NO,NO,MILD,6_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR226,2.3,3.6,9.4,NA,3.2,2,17.7,NA,NA,NA,15.82,46.1,58,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE,NONE,NECK_ABSENT,DISTINCT_RIDGES,YES,NO,MODERATE,ROUND,NA,NA,YELLOW/ORANGE
PI491585,14.6,17.7,1402.5,2.7,12.6,9.8,11.5,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
PI491589,12.8,13.5,1022,5.1,9.9,8.7,11.4,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_ABSENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
PI491592,13,16.5,1367.3,3.2,12.6,8,10.9,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,NA,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491593,12.2,19.1,1301,5.7,13.7,6.9,11.2,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,MILD,NA,BLACK,SMOOTH,YELLOW/ORANGE
PI491596,18.8,23.7,3104.8,5.9,18.1,12.9,9.9,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,NA,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491597,15,17.7,1728.8,3.3,13.2,10.2,10.1,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,STRONG,ROUND,BLACK,SMOOTH,GREEN/YELLOW
PI491599,14.8,18,1570.2,3.4,14,9.6,9.5,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,STRONG,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491601,13.7,24.1,1879.3,7.6,18.2,8.1,9.7,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,NA,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491602,14.8,20.2,1783.5,3.8,15.5,9.7,9.4,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491603,13.5,18.8,1238,5.4,15.1,9.9,11,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,NA,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,STRONG,5_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491613,17,24.2,2164,5.9,18.8,12,7.7,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,SMOOTH,NO,NO,MODERATE,ROUND,BLACK,SMOOTH,YELLOW
PI491614,15.8,22.8,2124,4.8,17.8,10.8,7.6,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
PI491615,17.8,24,2883.3,5.5,18.9,11.9,8,NA,NA,NA,NA,NA,NA,NA,NORMAL,ROUNDED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,ROUND,BLACK,SMOOTH,YELLOW
PI491616,16.3,19,2105.2,4.1,14.2,11.3,8.7,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
PI491617,17.5,21.2,2363.5,5.6,15,12.3,9.4,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MODERATE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MILD,6_ARMED_STAR,BLACK,SMOOTH,GREEN/YELLOW
PI491618,14.2,18.7,1572.5,5.9,14.4,9.4,6.4,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,MILD,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
PI491619,15.6,26.7,2169.2,7.1,22.4,10.9,8.9,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,NA,MODERATE,NA,DISTINCT_RIDGES,NO,NO,STRONG,ROUND,BLACK,SMOOTH,YELLOW
PI500296,15.7,18.2,1836,9.9,13.2,10.7,9.7,NA,NA,NA,NA,NA,NA,NA,NORMAL,POINTED_BLOSSOM_END,ORANGE/YELLOW,NONE,NECK_ABSENT,DISTINCT_RIDGES,NO,NO,MODERATE,5_ARMED_STAR,BLACK,SMOOTH,YELLOW
HCAR310,9.2,13.2,575.3,16.2,8.2,4.3,12.2,15.26,46.3,63.2,6.59,61.3,64.2,PYRIFORM(PEAR),NORMAL,ROUNDED_BLOSSOM_END,ORANGE,MODERATE,NECK_ABSENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
HCAR314,7.7,12.8,357.2,12.3,7.2,4.1,13.1,10.15,44,75.6,6.48,67.1,69.7,PYRIFORM(PEAR),NORMAL,ROUNDED_BLOSSOM_END,YELLOW,MODERATE,NECK_PRESENT,SMOOTH,NO,NO,MILD,5_ARMED_STAR,BLACK,SMOOTH,YELLOW/ORANGE
